Date,Open,High,Low,Close,Adj Close,Volume
2020-03-30,70.650002,70.650002,67.400002,68.150002,68.150002,2142665
2020-03-31,71.449997,71.449997,68.199997,71.050003,71.050003,2418642
2020-04-01,71.099998,71.599998,67.599998,67.949997,67.949997,2648532
2020-04-03,68.000000,68.000000,64.800003,65.300003,65.300003,1899909
2020-04-07,68.949997,69.000000,66.949997,67.349998,67.349998,1972661
2020-04-08,67.050003,71.550003,65.449997,67.599998,67.599998,4414992
2020-04-09,69.550003,76.199997,69.199997,74.599998,74.599998,8287109
2020-04-13,75.000000,77.599998,72.750000,74.300003,74.300003,3731307
2020-04-15,75.000000,78.650002,71.949997,72.849998,72.849998,5393926
2020-04-16,72.000000,75.400002,71.099998,74.650002,74.650002,2529141
2020-04-17,78.000000,78.250000,74.750000,76.849998,76.849998,3789325
2020-04-20,77.000000,83.349998,75.449997,80.500000,80.500000,7046533
2020-04-21,78.800003,78.800003,74.000000,74.750000,74.750000,2869173
2020-04-22,74.750000,76.650002,72.599998,75.900002,75.900002,2633362
2020-04-23,76.550003,78.650002,75.300003,75.650002,75.650002,3975655
2020-04-24,75.300003,76.900002,74.000000,74.150002,74.150002,2248898
2020-04-27,76.000000,76.150002,74.800003,75.250000,75.250000,1233681
2020-04-28,75.900002,78.099998,75.300003,76.949997,76.949997,1861672
2020-04-29,77.699997,79.300003,76.750000,78.150002,78.150002,2109471
2020-04-30,85.949997,93.750000,85.949997,93.099998,93.099998,7718772
2020-05-04,87.449997,87.449997,81.500000,83.900002,83.900002,3997604
2020-05-05,86.300003,86.750000,80.400002,80.949997,80.949997,2836210
2020-05-06,81.800003,84.000000,80.400002,83.099998,83.099998,2542246
2020-05-07,83.250000,84.650002,82.150002,82.500000,82.500000,1732595
2020-05-08,84.699997,84.849998,80.550003,81.050003,81.050003,1883318
2020-05-11,81.849998,90.449997,81.550003,86.099998,86.099998,7627363
2020-05-12,86.099998,87.699997,83.550003,86.150002,86.150002,3908399
2020-05-13,94.099998,94.099998,86.300003,87.250000,87.250000,3496462
